index,NL,BIC_NL,SAC,BIC_SAC,LAP_bias,DAP
0,110.0,103.85714285714286,0.509033203125,0.43804931640625,0.1484375,0.0390625
1,109.75,103.57142857142857,0.498046875,0.43621826171875,0.1328125,0.046875
2,110.0,103.35714285714286,0.501953125,0.4359130859375,0.1328125,0.0546875
3,109.75,104.28571428571429,0.498046875,0.43829345703125,0.1328125,0.0390625
4,110.0,103.57142857142857,0.50244140625,0.43792724609375,0.1328125,0.046875
5,109.75,103.85714285714286,0.5087890625,0.43914794921875,0.125,0.0390625
6,110.0,103.0,0.50830078125,0.4417724609375,0.1484375,0.046875
7,109.75,103.07142857142857,0.50634765625,0.4407958984375,0.125,0.0390625
8,110.0,104.28571428571429,0.5048828125,0.43646240234375,0.1328125,0.046875
9,109.75,103.64285714285714,0.49951171875,0.43621826171875,0.1484375,0.046875
10,110.0,103.85714285714286,0.50634765625,0.4385986328125,0.1328125,0.0390625
11,109.75,103.78571428571429,0.5068359375,0.439208984375,0.140625,0.0390625
12,109.75,103.21428571428571,0.500244140625,0.44049072265625,0.125,0.046875
13,110.0,103.28571428571429,0.51416015625,0.4344482421875,0.1328125,0.046875
14,109.75,102.78571428571429,0.491943359375,0.4407958984375,0.140625,0.046875
15,110.0,104.28571428571429,0.497314453125,0.437255859375,0.140625,0.0390625
16,109.75,104.42857142857143,0.497802734375,0.439697265625,0.1328125,0.046875
17,109.75,103.14285714285714,0.506103515625,0.44122314453125,0.140625,0.0390625
18,109.75,103.07142857142857,0.498779296875,0.4384765625,0.1328125,0.046875
19,110.0,103.71428571428571,0.5048828125,0.43951416015625,0.140625,0.046875
20,109.75,103.21428571428571,0.5029296875,0.434326171875,0.140625,0.046875
21,109.75,104.14285714285714,0.498779296875,0.435546875,0.125,0.0390625
22,110.0,104.35714285714286,0.500244140625,0.43902587890625,0.140625,0.046875
23,110.0,104.21428571428571,0.50927734375,0.4412841796875,0.125,0.0390625
24,110.0,103.5,0.50244140625,0.439697265625,0.140625,0.046875
25,109.75,103.42857142857143,0.49462890625,0.43743896484375,0.1328125,0.0390625
26,110.0,102.92857142857143,0.5009765625,0.4390869140625,0.1484375,0.0390625
27,110.0,103.71428571428571,0.5048828125,0.44256591796875,0.1328125,0.0390625
28,109.75,103.71428571428571,0.498046875,0.437744140625,0.1328125,0.046875
29,110.25,102.07142857142857,0.49560546875,0.440185546875,0.140625,0.0390625
30,109.75,104.28571428571429,0.503173828125,0.43658447265625,0.140625,0.046875
31,109.5,103.42857142857143,0.49951171875,0.43731689453125,0.1328125,0.0390625
32,109.75,103.78571428571429,0.49951171875,0.44140625,0.1328125,0.046875
33,110.25,103.21428571428571,0.504638671875,0.4417724609375,0.1328125,0.0390625
34,109.75,103.57142857142857,0.50341796875,0.439697265625,0.1328125,0.0390625
35,109.75,103.5,0.5,0.439453125,0.140625,0.046875
36,109.75,103.85714285714286,0.504638671875,0.437255859375,0.1328125,0.046875
37,109.75,103.57142857142857,0.51025390625,0.43572998046875,0.1328125,0.0546875
38,109.75,103.14285714285714,0.5078125,0.43572998046875,0.1640625,0.046875
39,110.0,102.5,0.503173828125,0.43927001953125,0.140625,0.046875
40,110.0,103.71428571428571,0.50537109375,0.44427490234375,0.1328125,0.0390625
41,110.0,102.92857142857143,0.496337890625,0.4390869140625,0.140625,0.046875
42,109.75,103.35714285714286,0.499755859375,0.4365234375,0.1640625,0.0390625
43,109.75,103.21428571428571,0.5107421875,0.43597412109375,0.1328125,0.0390625
44,110.0,104.0,0.49462890625,0.43798828125,0.1328125,0.046875
45,109.75,102.64285714285714,0.500732421875,0.4381103515625,0.125,0.0546875
46,110.0,104.14285714285714,0.497314453125,0.43707275390625,0.125,0.0390625
47,109.75,103.07142857142857,0.509033203125,0.44012451171875,0.140625,0.0390625
48,109.75,104.35714285714286,0.4970703125,0.441650390625,0.140625,0.0390625
49,110.0,104.28571428571429,0.5009765625,0.437744140625,0.140625,0.0390625
50,109.75,103.21428571428571,0.49658203125,0.4383544921875,0.125,0.0390625
51,110.0,103.57142857142857,0.5029296875,0.43841552734375,0.1328125,0.046875
52,110.0,103.35714285714286,0.501708984375,0.43695068359375,0.1328125,0.0546875
53,110.25,103.78571428571429,0.504638671875,0.443359375,0.1328125,0.0390625
54,109.75,103.07142857142857,0.509765625,0.43572998046875,0.1484375,0.046875
55,109.75,103.57142857142857,0.503662109375,0.43963623046875,0.1328125,0.0390625
56,110.0,103.71428571428571,0.50244140625,0.43988037109375,0.140625,0.046875
57,109.75,104.28571428571429,0.505615234375,0.44012451171875,0.1328125,0.046875
58,110.0,103.28571428571429,0.498046875,0.436279296875,0.140625,0.046875
59,110.0,103.71428571428571,0.5068359375,0.43682861328125,0.140625,0.0390625
60,110.0,103.42857142857143,0.507568359375,0.4405517578125,0.1484375,0.046875
61,109.75,103.35714285714286,0.503662109375,0.44085693359375,0.1328125,0.0390625
62,109.75,102.78571428571429,0.496826171875,0.442138671875,0.1328125,0.046875
63,110.25,103.5,0.49169921875,0.4385986328125,0.1640625,0.046875
64,109.75,103.71428571428571,0.503173828125,0.43963623046875,0.125,0.0390625
65,110.0,103.85714285714286,0.507080078125,0.44305419921875,0.140625,0.0390625
66,109.75,103.71428571428571,0.49853515625,0.439697265625,0.1328125,0.046875
67,110.25,103.0,0.510498046875,0.4385986328125,0.1328125,0.0390625
68,110.0,103.71428571428571,0.49853515625,0.43768310546875,0.1328125,0.046875
69,110.0,103.92857142857143,0.507080078125,0.43890380859375,0.1328125,0.0390625
70,109.75,103.07142857142857,0.504638671875,0.4398193359375,0.140625,0.046875
71,110.0,102.28571428571429,0.501953125,0.43853759765625,0.171875,0.0390625
72,110.0,103.57142857142857,0.507080078125,0.4422607421875,0.140625,0.046875
73,110.0,103.64285714285714,0.501953125,0.438720703125,0.1484375,0.0390625
74,109.75,103.85714285714286,0.497802734375,0.43927001953125,0.1484375,0.0390625
75,109.75,103.57142857142857,0.503662109375,0.4307861328125,0.1328125,0.0390625
76,109.75,104.21428571428571,0.49658203125,0.44036865234375,0.125,0.0390625
77,109.75,104.21428571428571,0.501953125,0.43817138671875,0.140625,0.0390625
78,110.0,104.14285714285714,0.497802734375,0.44207763671875,0.1484375,0.046875
79,109.75,104.64285714285714,0.500732421875,0.44256591796875,0.140625,0.0546875
80,110.25,103.14285714285714,0.498779296875,0.43902587890625,0.140625,0.046875
81,109.75,103.57142857142857,0.4970703125,0.440673828125,0.1484375,0.046875
